country,region,happiness_rank,happiness_score,standard_error,economy_(gdp_per_capita),family,health_(life_expectancy),freedom,trust_(government_corruption),generosity,dystopia_residual,year,lower_confidence_interval,upper_confidence_interval,happiness.rank,happiness.score,whisker.high,whisker.low,economy..gdp.per.capita.,health..life.expectancy.,trust..government.corruption.,dystopia.residual,happiness_to_gdp_ratio
Belgium,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.30424676178679
United Arab Emirates,Middle East and Northern Africa,20.0,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.835104780454994
United Kingdom,Western Europe,21.0,6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.422585816151678
Oman,Middle East and Northern Africa,22.0,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.038563057399769
Venezuela,Latin America and Caribbean,23.0,6.81,0.06476,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.521489312801654
Singapore,Southeastern Asia,24.0,6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.466902343185313
Panama,Latin America and Caribbean,25.0,6.786,0.0491,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.38063806380638
Germany,Western Europe,26.0,6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.0831375384059285
Chile,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.024477261437022
Qatar,Middle East and Northern Africa,28.0,6.611,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,3.910862389228712
France,Western Europe,29.0,6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.145643224968305
Argentina,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.2400926426896755
Czech Republic,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.517481212573581
Uruguay,Latin America and Caribbean,32.0,6.485,0.04539,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.10835860821732
Colombia,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,7.050870336704369
Thailand,Southeastern Asia,34.0,6.455,0.03557,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.675974764711967
Saudi Arabia,Middle East and Northern Africa,35.0,6.411,0.04633,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.594348614385735
Spain,Western Europe,36.0,6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.145068327222768
Malta,Western Europe,37.0,6.302,0.04206,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.219479874109656
Taiwan,Eastern Asia,38.0,6.298,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.878464422376799
Kuwait,Middle East and Northern Africa,39.0,6.295,0.04456,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.050263154508371
Suriname,Latin America and Caribbean,40.0,6.269,0.09811,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.298350312456045
Trinidad and Tobago,Latin America and Caribbean,41.0,6.168,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.089822829934892
El Salvador,Latin America and Caribbean,42.0,6.13,0.05618,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,8.017893112198184
Guatemala,Latin America and Caribbean,43.0,6.123,0.05224,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,8.212949177095489
Uzbekistan,Central and Eastern Europe,44.0,6.003,0.04361,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,9.491809499715389
Slovakia,Central and Eastern Europe,45.0,5.995,0.04267,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.128709652582321
Japan,Eastern Asia,46.0,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.711427986842312
South Korea,Eastern Asia,47.0,5.984,0.04098,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.8079318019299215
Ecuador,Latin America and Caribbean,48.0,5.975,0.04528,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.915349181731904
Bahrain,Middle East and Northern Africa,49.0,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.502326705747265
Italy,Western Europe,50.0,5.948,0.03914,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.754064293364452
Bolivia,Latin America and Caribbean,51.0,5.89,0.05642,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,8.644856383837494
Moldova,Central and Eastern Europe,52.0,5.889,0.03799,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,9.906136455389584
Paraguay,Latin America and Caribbean,53.0,5.878,0.04563,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,7.73573731657564
Kazakhstan,Central and Eastern Europe,54.0,5.855,0.04114,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.215849769273255
Slovenia,Central and Eastern Europe,55.0,5.848,0.04251,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.93510438994751
Lithuania,Central and Eastern Europe,56.0,5.833,0.03843,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.0844207351620865
Nicaragua,Latin America and Caribbean,57.0,5.828,0.05371,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,9.823851664559628
Peru,Latin America and Caribbean,58.0,5.824,0.04615,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.469745275997289
Belarus,Central and Eastern Europe,59.0,5.813,0.03938,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.633188619272812
Poland,Central and Eastern Europe,60.0,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.145040202567634
Malaysia,Southeastern Asia,61.0,5.77,0.0433,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.129527230055295
Croatia,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.319895800617068
Libya,Middle East and Northern Africa,63.0,5.754,0.07832,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.085509744133633
Russia,Central and Eastern Europe,64.0,5.716,0.03135,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.024436552863824
Jamaica,Latin America and Caribbean,65.0,5.709,0.13693,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,7.0448431599990124
North Cyprus,Western Europe,66.0,5.695,0.05635,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.714169826002021
Cyprus,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.708930330345245
Algeria,Middle East and Northern Africa,68.0,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.967273153126298
Kosovo,Central and Eastern Europe,69.0,5.589,0.05018,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.973349303787993
Turkmenistan,Central and Eastern Europe,70.0,5.548,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.788391916283243
Mauritius,Sub-Saharan Africa,71.0,5.477,0.07197,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.435634819027204
Hong Kong,Eastern Asia,72.0,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,3.9493809702461693
Estonia,Central and Eastern Europe,73.0,5.429,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.713737475471895
Indonesia,Southeastern Asia,74.0,5.399,0.02596,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,1.86399,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.518405833846452
Vietnam,Southeastern Asia,75.0,5.36,0.03107,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,8.478866109845608
Turkey,Middle East and Northern Africa,76.0,5.332,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.025542423042847
Kyrgyzstan,Central and Eastern Europe,77.0,5.286,0.03823,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,11.145315003795226
Nigeria,Sub-Saharan Africa,78.0,5.268,0.04192,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,8.050737372965537
Bhutan,Southern Asia,79.0,5.253,0.03225,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,6.8183588172685035
Azerbaijan,Central and Eastern Europe,80.0,5.212,0.03363,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.090390569299436
Pakistan,Southern Asia,81.0,5.194,0.03726,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,8.723107670087163
Jordan,Middle East and Northern Africa,82.0,5.192,0.04524,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.75622519346327
Montenegro,Central and Eastern Europe,82.0,5.192,0.05235,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.328516595168209
China,Eastern Asia,84.0,5.14,0.02424,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.774502314294701
Zambia,Sub-Saharan Africa,85.0,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,10.903949997874058
Romania,Central and Eastern Europe,86.0,5.124,0.06607,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.910632996310317
Serbia,Central and Eastern Europe,87.0,5.123,0.04864,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,5.565272180157084
Portugal,Western Europe,88.0,5.102,0.04802,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,2015,5.282394904458599,5.481974522292994,78.0,5.354019355773926,5.452325717478509,5.255712994069341,0.9847182019463474,0.5513407826123219,0.12312022065142951,1.8502378056126252,4.39861713408799
